query_type,query,rank_from,rank_to,results_in_bucket,semantic_score_max,semantic_score_mean,semantic_score_median,semantic_score_min,semantic_ratio_mean,semantic_ratio_median,keyword_score_max,keyword_score_mean,keyword_score_median,keyword_score_min,keyword_ratio_mean,keyword_ratio_median,strict_retained,balanced_retained,permissive_retained
narrow,road crash data,1,10,10,0.7205349206924438,0.599616676568985,0.5815119743347168,0.5446286201477051,0.8321826733848586,0.8070559214199859,0.4060044288635254,0.1392368420958519,0.10334544256329536,0.06698592007160187,0.34294414591879996,0.25454264834641493,10,10,10
narrow,road crash data,11,25,15,0.6237448453903198,0.5236468116442362,0.5371109247207642,0.44685789942741394,0.7267473048232063,0.745433578992387,0.05520595982670784,0.02794874335328738,0.0261674951761961,0.009473147802054882,0.06883851841597051,0.06445125549355044,15,15,15
narrow,road crash data,26,50,25,0.5290680527687073,0.45186068534851076,0.4456011652946472,0.36972182989120483,0.6271183704937805,0.6184310468483866,0.06789272278547287,0.014566592085175216,0.008809817023575306,0.0,0.035877914253175894,0.0216988200060661,25,25,25
narrow,road crash data,51,100,50,0.43345874547958374,0.39792999386787414,0.39938390254974365,0.32743674516677856,0.5522702404006429,0.5542880588853769,0.042366281151771545,0.010256594656966626,0.0077238185331225395,0.0,0.025262272841891302,0.01902397605548985,50,50,50
narrow,road crash data,101,200,100,0.39566171169281006,0.3523047561943531,0.3699449449777603,0.22425046563148499,0.4889488990426494,0.5134309723978931,0.046770863234996796,0.014470557272434235,0.012027216143906116,0.0,0.03564137788580227,0.029623361936155022,76,90,95
narrow,road crash data,201,300,100,0.36923015117645264,0.33334812238812445,0.3549050837755203,0.16902145743370056,0.4626397872122178,0.49255778392316046,0.03185373544692993,0.011843677566503175,0.009788642637431622,0.0,0.02917130140588766,0.024109694233709907,74,87,93
narrow,road crash data,301,500,200,0.3546067774295807,0.31353249739855527,0.3362795114517212,0.10722339898347855,0.43513851777960505,0.46670813834887004,0.025285152718424797,0.009537689349090215,0.008437717333436012,0.0,0.023491589428686305,0.020782328303793632,136,156,177
narrow,road crash data,501,750,250,0.33620119094848633,0.3000996876955032,0.3248119652271271,0.15034502744674683,0.41649568824104094,0.4507928150310583,0.020567160099744797,0.007875978275435045,0.00804490502923727,0.0,0.01939874965768534,0.019814820867241057,129,186,202
narrow,road crash data,751,1000,250,0.3253084719181061,0.2925803225040436,0.317096471786499,0.06474758684635162,0.4060598787118741,0.44008480738416533,0.016774820163846016,0.006575380536727607,0.005074146203696728,0.0,0.01619534189598178,0.012497760721231824,15,172,203
narrow,ambulance off stretcher times,1,10,10,0.5765032768249512,0.42327329218387605,0.41541051864624023,0.3547589182853699,0.7342079554430673,0.7205692237069019,0.641506016254425,0.13519243225455285,0.0764523521065712,0.037475429475307465,0.21074226714802113,0.11917636026697799,10,10,10
narrow,ambulance off stretcher times,11,25,15,0.38673096895217896,0.3030012220144272,0.305259108543396,0.24270401895046234,0.5255845616059354,0.5295010814588735,0.08969433605670929,0.04365394227206707,0.03498460724949837,0.0,0.0680491549041898,0.05453511948923526,8,12,15
narrow,ambulance off stretcher times,26,50,25,0.3061997890472412,0.2704168826341629,0.2693452835083008,0.23297132551670074,0.46906391256518737,0.46720512152454685,0.039459794759750366,0.0035959377605468035,0.0,0.0,0.005605462255120353,0.0,2,20,25
