query_type,query,recognised_keyword_features,rank,title,organisation,description_preview,dataset_url,semantic_score,semantic_ratio_to_best,keyword_score,keyword_ratio_to_best,hybrid_score,passes_strict_rule,passes_balanced_rule,passes_permissive_rule
narrow,road crash data,5,1,NSW Crash Data,Transport for NSW,This dataset provides data professionals and road safety analysts direct access to road crash data. Ready access to this data helps you take on more detailed research and evaluation that can contribute to better understanding of crashes and…,https://data.nsw.gov.au/data/dataset/2-nsw-crash-data,0.7205349206924438,1.0,0.4060044288635254,1.0,0.016393442622950817,True,True,True
narrow,road crash data,5,5,Crash Statistics,Transport for NSW,The data is available on the **[TfNSW Centre for Road Safety](https://roadsafety.transport.nsw.gov.au/statistics/index.html)** website. The site provides information on: 1. Interactive crash statistics with dynamic reports on road user…,https://data.nsw.gov.au/data/dataset/2-crash-statistics,0.5681095123291016,0.7884552101696065,0.18420201539993286,0.45369459617853247,0.015286470871449204,True,True,True
narrow,road crash data,5,10,NSW crash statistics: People in crashes in local government area,Transport for NSW,Interactive report on People in crashes in local government area. Reporting years 2009 to 2013,https://data.nsw.gov.au/data/dataset/crash-data-local-government-area,0.5446286201477051,0.7558670711258652,0.06698592007160187,0.16498815113693885,0.013316261203585146,True,True,True
narrow,road crash data,5,20,Road traffic casualty crashes in New South Wales : statistical statement for the year ended 31 December 2019,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-19053-road-traffic-casualty-crashes-in-new-south-wales---statistical-statement-for-the-year-ended-,0.5594052672386169,0.7763749558467213,0.009473147802054882,0.02333262183511597,0.010334448160535118,True,True,True
narrow,road crash data,5,30,NSW Road Network Categorisation,Transport for NSW,"This dataset provides spatial data of NSW roads categorised as either **State** or **Regional** Roads. ### Road Categories - **State Roads** – the responsibility of Transport, funded by the NSW Government - **Regional Roads** – the…",https://data.nsw.gov.au/data/dataset/2-nsw-roads-network-categorisation,0.4351704716682434,0.6039547274822414,0.02674891985952854,0.06588332037264535,0.009243697478991597,True,True,True
narrow,road crash data,5,40,Parking and Council Data,Transport for NSW,"This dataset contains the various parking and council related data that has been made available on the Open Data Hub. It covers parking related penalty notices, the location of Sydney CBD kerbside loading zones, the Car Park API which…",https://data.nsw.gov.au/data/dataset/2-parking-and-council-data,0.45332467555999756,0.6291501807078919,0.010678628459572792,0.026301753627328815,0.007700943610732151,True,True,True
narrow,road crash data,5,50,Motor Accidents Authority Annual Report 2005-2006,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-9715-motor-accidents-authority-annual-report-2005-2006,0.4351212978363037,0.6038864811967006,0.0,0.0,0.006796116504854369,True,True,True
narrow,road crash data,5,75,F4 freeway : Mays Hill - Prospect : working paper 1 : traffic pattern,NSW Government,"In March 1986 Dye Arup Transportation Planning was commissioned by the Department of Main Roads (DMR) to collect, assemble and collate traffic information to assist the DMR to analyse and make decisions regarding the completion of the…",https://data.nsw.gov.au/data/dataset/3-18483-f4-freeway---mays-hill---prospect---working-paper-1---traffic-pattern-,0.4117434024810791,0.5714412871001284,0.0007004609797149897,0.001725254529059443,0.005703098717900795,True,True,True
narrow,road crash data,5,100,Maritime NSW Boat Ramps,Transport for NSW,"This dataset provides the locations of Maritime NSW boat ramps along with details such as the responsible authority, ramp condition, contact details and the available facilities (e.g. toilets, fuel, BBQ facilities, etc.) The dataset is…",https://data.nsw.gov.au/data/dataset/2-maritime-nsw-boat-ramps,0.3963630497455597,0.5500955447997571,0.0,0.0,0.005,True,True,True
narrow,road crash data,5,150,Road Transport and Tramway Annual Report 1935-36,NSW Government,Road Transport and Tramway,https://data.nsw.gov.au/data/dataset/3-15830-road-transport-and-tramway-annual-report-1935-36,0.3131144046783447,0.4345582645424562,0.03121589869260788,0.07688561127273026,0.003947561692126909,False,True,True
narrow,road crash data,5,200,Leeton Shire Flood Study - Collected Data (Photos),Leeton Shire Council,Collected Data (Photos),https://data.nsw.gov.au/data/dataset/fdp-leeton-shire-flood-study-collected-data-photos,0.33736810088157654,0.4682189456652027,0.020932499319314957,0.05155731768224435,0.0034114961610292593,True,True,True
narrow,road crash data,5,300,Flood Study Report for Rand - Data,Federation Council,DXF,https://data.nsw.gov.au/data/dataset/fdp-rand-flood-study-data,0.3159368634223938,0.4384754358869577,0.020956704393029213,0.051616935440065397,0.00253555063440995,False,True,True
narrow,road crash data,5,500,Road transport : future directions : supporting studies : volume B : consultation,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-17401-road-transport---future-directions---supporting-studies---volume-b---consultation,0.32374250888824463,0.44930856172400874,0.012551567517220974,0.03091485369348044,0.0017200872629635844,False,True,True
narrow,road crash data,5,750,"NSW Department of Main Roads journal - June 1968, Volume 33, Number 4",NSW Government,"Main Roads 1929 - 1984: journals of the Department of Main Roads, New South Wales",https://data.nsw.gov.au/data/dataset/3-16075-nsw-department-of-main-roads-journal---june-1968--volume-33--number-4,0.32541948556900024,0.451635966867876,0.0,0.0,0.001238938053097345,True,True,True
narrow,road crash data,5,1000,SGE 2015 Pre-poll Election transaction data,NSW Electoral Commission,"Depersonalised election transaction data for the Pre-poll channel, created at the NSW State General Election March 2015",https://data.nsw.gov.au/data/dataset/sge-2015-pre-poll-election-transaction-data,0.2992095947265625,0.41526036578354597,0.008892633020877838,0.021902798069887593,0.0009696339224370494,False,True,True
narrow,ambulance off stretcher times,7,1,Ambulance off-stretcher times,NSW Ambulance,Off-stretcher times for ambulances at public hospital emergency departments.,https://data.nsw.gov.au/data/dataset/ambulance-off-stretcher-times,0.5765032768249512,1.0,0.641506016254425,1.0,0.016393442622950817,True,True,True
narrow,ambulance off stretcher times,7,5,Ambulance Service of New South Wales Annual Report 2003-2004,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-11204-ambulance-service-of-new-south-wales-annual-report-2003-2004,0.41695916652679443,0.7232555013792219,0.0759904682636261,0.11845636102886965,0.015117056856187291,True,True,True
narrow,ambulance off stretcher times,7,10,Ambulance Service of NSW - Readiness to Respond,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-17978-ambulance-service-of-nsw---readiness-to-respond,0.3547589182853699,0.6153632295711798,0.037475429475307465,0.05841789246828277,0.013380758807588076,True,True,True
narrow,ambulance off stretcher times,7,20,"Department of Health, NSW Ambulance Service - Code Red: Hospital Emergency Departments",NSW Government,Performance Audit Report,https://data.nsw.gov.au/data/dataset/3-18021-department-of-health--nsw-ambulance-service---code-red--hospital-emergency-departments,0.29093578457832336,0.504655907908504,0.030483124777674675,0.047518065310840185,0.011594202898550725,False,True,True
narrow,ambulance off stretcher times,7,30,Crash performance of emergency locking retractor seat belts : TARU 5/76,NSW Government,The crash performance of emergency locking retractor (inertia reel) seat belts is examined by in-depth field investigations and by laboratory simulations. It is found that the inclusion of the retractor increases body excursions for the…,https://data.nsw.gov.au/data/dataset/3-17545-crash-performance-of-emergency-locking-retractor-seat-belts---taru-5-76,0.30456793308258057,0.5283021716025028,0.0,0.0,0.008749999999999999,True,True,True
narrow,ambulance off stretcher times,7,40,Hospital Quarterly: Performance of NSW public hospitals - April to June 2014,Bureau of Health Information,Hospital Quarterly is a series of regular reports that track services provided in NSW public hospitals and the timeliness with which they are delivered. The report is structured around two types of measures: activity measures and…,https://data.nsw.gov.au/data/dataset/hospital-quarterly-performance-of-nsw-public-hospitals-april-to-june-2014,0.27461743354797363,0.47635016935273755,0.0,0.0,0.007692307692307692,False,True,True
narrow,ambulance off stretcher times,7,50,NSW Sporting Injuries Committee Annual Report 09/10,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-10810-nsw-sporting-injuries-committee-annual-report-09-10,0.2562640905380249,0.44451454283032055,0.0,0.0,0.006862745098039216,False,True,True
narrow,ambulance off stretcher times,7,75,NSW - Levee Study for Emergency Management - Report,NSW State Emergency Service,Complete,https://data.nsw.gov.au/data/dataset/fdp-nsw-levee-study-for-emergency-management-report,0.230952650308609,0.4006094320583285,0.0,0.0,0.0053435114503816794,False,False,True
narrow,ambulance off stretcher times,7,100,13 December 2016 - Switch off before you take off,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-16207-13-december-2016---switch-off-before-you-take-off,0.1590701937675476,0.2759224451309537,0.036370694637298584,0.056695796634390026,0.00467026476948518,False,False,False
narrow,ambulance off stretcher times,7,150,Greater Southern Area Health Service Annual Report 2006-2007,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-9682-greater-southern-area-health-service-annual-report-2006-2007,0.21229690313339233,0.3682492566262619,0.0,0.0,0.0037634408602150535,False,False,True
narrow,ambulance off stretcher times,7,200,Average wait time for households in urgent need,Department of Communities and Justice,"Households on the NSW Housing Register include both priority applicants waiting to be housed and existing tenants in social housing waiting urgently to be rehoused, as their current house does not meet their needs. Priority applicants are…",https://data.nsw.gov.au/data/dataset/average-wait-time-for-households-in-urgent-need,0.20509777963161469,0.3557616892677097,0.0,0.0,0.0030701754385964912,False,False,True
